[0]
subject_name ron
anim_name dash
frame_count 11
frame 0
hand_x -19.184165954589844
hand_y -6.2118048667907715
frame 1
hand_x -19.184165954589844
hand_y -6.2118048667907715
frame 2
hand_x -19.184165954589844
hand_y -6.2118048667907715
frame 3
hand_x -19.184165954589844
hand_y -6.2118048667907715
frame 4
hand_x -19.184165954589844
hand_y -6.2118048667907715
frame 5
hand_x -19.184165954589844
hand_y -6.2118048667907715
frame 6
hand_x -19.184165954589844
hand_y -6.2118048667907715
frame 7
hand_x -19.184165954589844
hand_y -6.2118048667907715
frame 8
hand_x -19.184165954589844
hand_y -6.2118048667907715
frame 9
hand_x -19.184165954589844
hand_y -6.2118048667907715
frame 10
hand_x -19.184165954589844
hand_y -6.2118048667907715
