[0]
subject_name ron
anim_name walk
frame_count 33
frame 0
hand_x -16.244333267211914
hand_y -12.310338973999023
frame 1
hand_x -16.244333267211914
hand_y -12.310338973999023
frame 2
hand_x -16.244333267211914
hand_y -12.310338973999023
frame 3
hand_x -16.244333267211914
hand_y -12.310338973999023
frame 4
hand_x -15.17275333404541
hand_y -16.065401077270508
frame 5
hand_x -15.17275333404541
hand_y -16.065401077270508
frame 6
hand_x -15.17275333404541
hand_y -16.065401077270508
frame 7
hand_x -15.17275333404541
hand_y -16.065401077270508
frame 8
hand_x -12.589599609375
hand_y -16.33201789855957
frame 9
hand_x -12.589599609375
hand_y -16.33201789855957
frame 10
hand_x -12.589599609375
hand_y -16.33201789855957
frame 11
hand_x -12.589599609375
hand_y -16.33201789855957
frame 12
hand_x -12.156753540039062
hand_y -16.837970733642578
frame 13
hand_x -12.156753540039062
hand_y -16.837970733642578
frame 14
hand_x -12.156753540039062
hand_y -16.837970733642578
frame 15
hand_x -12.156753540039062
hand_y -16.837970733642578
frame 16
hand_x -15.194316864013672
hand_y -14.684993743896484
frame 17
hand_x -15.194316864013672
hand_y -14.684993743896484
frame 18
hand_x -15.194316864013672
hand_y -14.684993743896484
frame 19
hand_x -15.194316864013672
hand_y -14.684993743896484
frame 20
hand_x -20.666189193725586
hand_y -2.4428799152374268
frame 21
hand_x -20.666189193725586
hand_y -2.4428799152374268
frame 22
hand_x -20.666189193725586
hand_y -2.4428799152374268
frame 23
hand_x -20.666189193725586
hand_y -2.4428799152374268
frame 24
hand_x -19.61170196533203
hand_y 0.45213890075683594
frame 25
hand_x -19.61170196533203
hand_y 0.45213890075683594
frame 26
hand_x -19.61170196533203
hand_y 0.45213890075683594
frame 27
hand_x -19.61170196533203
hand_y 0.45213890075683594
frame 28
hand_x -20.94217300415039
hand_y -0.15736541152000427
frame 29
hand_x -20.94217300415039
hand_y -0.15736541152000427
frame 30
hand_x -20.94217300415039
hand_y -0.15736541152000427
frame 31
hand_x -20.94217300415039
hand_y -0.15736541152000427
frame 32
hand_x -16.24433135986328
hand_y -12.310341835021973
